Continent,Country,Population,Cases.New,Cases.Active,Cases.Critical,Cases.Recovered,Cases.1M_pop,Cases.Total,Deaths.New,Deaths.1M_pop,Deaths.Total,Tests.1M_pop,Tests.Total,Day,Time
North-America,Anguilla,15230.0,,13.0,4.0,3879.0,256336,3904,,788,12.0,3373736,51382.0,2023-07-07,2023-07-07T17:30:09+00:00
North-America,Saint-Pierre-Miquelon,5759.0,,1001.0,1.0,2449.0,599410,3452,,347,2.0,4410488,25400.0,2023-07-07,2023-07-07T17:30:09+00:00
Africa,Saint-Helena,6115.0,,2164.0,,2.0,354211,2166,,,,,,2023-07-07,2023-07-07T17:30:09+00:00
South-America,Falkland-Islands,3539.0,,0.0,,1930.0,545352,1930,,,,2439107,8632.0,2023-07-07,2023-07-07T17:30:09+00:00
North-America,Montserrat,4965.0,,19.0,,1376.0,282578,1403,,1611,8.0,3577442,17762.0,2023-07-07,2023-07-07T17:30:09+00:00
,Diamond-Princess,,,0.0,,699.0,,712,,,13.0,,,2023-07-07,2023-07-07T17:30:09+00:00
Europe,Vatican-City,799.0,,0.0,,29.0,36295,29,,,,,,2023-07-07,2023-07-07T17:30:09+00:00
Africa,Western-Sahara,626161.0,,0.0,,9.0,16,10,,2,1.0,,,2023-07-07,2023-07-07T17:30:09+00:00
,MS-Zaandam,,,0.0,,7.0,,9,,,2.0,,,2023-07-07,2023-07-07T17:30:09+00:00
Asia,China,1448471400.0,,118977.0,,379053.0,347,503302,,4,5272.0,110461,160000000.0,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Nauru,10903.0,,45.0,,5347.0,494635,5393,,92,1.0,1881042,20509.0,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Wallis-and-Futuna,10982.0,,3104.0,,438.0,323256,3550,,728,8.0,1867419,20508.0,2023-07-07,2023-07-07T17:30:09+00:00
Africa,Sao-Tome-and-Principe,227679.0,,0.0,,6508.0,28935,6588,,351,80.0,127530,29036.0,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Tuvalu,12066.0,,2942.0,,,243909,2943,,83,1.0,,,2023-07-07,2023-07-07T17:30:09+00:00
North-America,St-Barth,9945.0,,,,,553746,5507,,603,6.0,7908095,78646.0,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Tokelau,1378.0,,23.0,,,16691,23,,,,,,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Palau,18233.0,,3.0,,6006.0,330061,6018,,494,9.0,3834037,69906.0,2023-07-07,2023-07-07T17:30:09+00:00
North-America,Saint-Kitts-and-Nevis,53871.0,,0.0,,6559.0,122645,6607,,891,48.0,2356704,126958.0,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Kiribati,123419.0,,2354.0,3.0,2703.0,41169,5081,,194,24.0,,,2023-07-07,2023-07-07T17:30:09+00:00
Oceania,Niue,1622.0,+1,1.0,,820.0,506165,821,,,,,,2023-07-07,2023-07-07T17:30:09+00:00
North-America,Cura&ccedil;ao,165529.0,,971.0,3.0,44720.0,277812,45986,,1782,295.0,3000640,496693.0,2023-07-07,2023-07-07T17:30:08+00:00
Europe,Isle-of-Man,85732.0,,,,,443335,38008,,1353,116.0,1758422,150753.0,2023-07-07,2023-07-07T17:30:08+00:00
Africa,Lesotho,2175699.0,,8087.0,,25980.0,15990,34790,,332,723.0,198199,431221.0,2023-07-07,2023-07-07T17:30:08+00:00
Europe,Faeroe-Islands,49233.0,,,5.0,,703959,34658,,569,28.0,15802409,778000.0,2023-07-07,2023-07-07T17:30:08+00:00
North-America,Cayman-Islands,67277.0,,22882.0,1.0,8553.0,467797,31472,,550,37.0,3311280,222773.0,2023-07-07,2023-07-07T17:30:08+00:00
Africa,Congo,5797805.0,,983.0,,24006.0,4377,25375,,67,386.0,59991,347815.0,2023-07-07,2023-07-07T17:30:08+00:00
Oceania,Solomon-Islands,721159.0,,,1.0,,34077,24575,,212,153.0,,,2023-07-07,2023-07-07T17:30:08+00:00
North-America,Nicaragua,6779100.0,,14041.0,,4225.0,2728,18491,,33,225.0,,,2023-07-07,2023-07-07T17:30:08+00:00
Africa,South-Sudan,11618511.0,,115.0,1.0,18115.0,1581,18368,,12,138.0,35313,410280.0,2023-07-07,2023-07-07T17:30:08+00:00
Asia,Tajikistan,9957464.0,,397.0,,17264.0,1786,17786,,13,125.0,,,2023-07-07,2023-07-07T17:30:08+00:00
North-America,Dominica,72344.0,,13.0,,15673.0,217848,15760,,1023,74.0,3170187,229344.0,2023-07-07,2023-07-07T17:30:08+00:00
Africa,Djibouti,1016097.0,,74.0,,15427.0,15441,15690,,186,189.0,301094,305941.0,2023-07-07,2023-07-07T17:30:08+00:00
Africa,CAR,5016678.0,,55.0,2.0,15200.0,3063,15368,,23,113.0,16205,81294.0,2023-07-07,2023-07-07T17:30:08+00:00
